SIAS,Interaction,Audience,neg_eva,liebowitz_fear,liebowitz_avoidance,liebowitz_total,participantID
2.05,3.5714285714285716,3.4166666666666665,2.8181818181818183,1.75,1.2083333333333333,1.4791666666666665,R_7JD93ZoB67MhLg3
1.0,2.533333333333333,2.75,2.727272727272727,0.375,1.3333333333333333,0.8541666666666666,R_1WtVKNu6flh5Sp7
1.95,3.0,3.0,3.0,2.0,1.0,1.5,R_3YovKuFHnYI49gt
1.8,3.6,4.166666666666667,3.5454545454545454,2.1666666666666665,1.9166666666666667,2.0416666666666665,R_5EccKcotuRFOO33
1.55,3.0,3.0,3.090909090909091,0.75,0.9166666666666666,0.8333333333333333,R_71Et5V1BaqiJuoR
2.55,4.066666666666666,4.75,3.8181818181818183,1.8333333333333333,1.3333333333333333,1.5833333333333333,R_1Et4aI0weGQGovt
0.2,1.4,1.9166666666666667,4.0,0.20833333333333334,0.5,0.3541666666666667,R_31BwcmFMmY8Wg3q
1.25,2.7333333333333334,2.3333333333333335,2.3636363636363638,0.4583333333333333,0.5416666666666666,0.5,R_3NHYjetBGepYbrK
1.15,2.466666666666667,1.8333333333333333,2.727272727272727,0.6666666666666666,0.5833333333333334,0.625,R_7eap0FQxb1TrCnY
2.4,3.6666666666666665,3.9166666666666665,3.272727272727273,1.5833333333333333,1.8333333333333333,1.7083333333333333,R_3WksQ064xj6JYYN
2.25,3.2666666666666666,3.5,3.1818181818181817,2.1666666666666665,1.7916666666666667,1.9791666666666665,R_2KryIkmTCOb6eUU
0.45,1.7333333333333334,1.5,2.6363636363636362,0.625,0.3333333333333333,0.47916666666666663,R_7lxhI87CHabQjfc
2.95,3.0,3.0,3.0,1.4166666666666667,1.2083333333333333,1.3125,R_13m40r672zQl4g7
2.7,3.7333333333333334,4.666666666666667,3.909090909090909,2.6666666666666665,2.2083333333333335,2.4375,R_701Ahvlhq3udAHc
1.95,3.2666666666666666,3.6666666666666665,3.8181818181818183,1.625,1.75,1.6875,R_1QYUgALf2MKc3vp
1.25,2.533333333333333,2.6666666666666665,2.909090909090909,0.9166666666666666,0.9166666666666666,0.9166666666666666,R_5uP9JJsaCJo6OOz
2.4,4.0,3.25,3.4545454545454546,1.3333333333333333,1.7083333333333333,1.5208333333333333,R_8cvY6RMpIIbMEo3
2.8,3.933333333333333,4.0,3.909090909090909,1.875,1.7083333333333333,1.7916666666666665,R_59nXN3KJnjYkf8b
1.65,3.066666666666667,3.5,2.5454545454545454,0.4583333333333333,0.20833333333333334,0.3333333333333333,R_5gBJYH1TXEzkJ8L
1.5,2.8666666666666667,3.25,3.090909090909091,1.4166666666666667,1.2916666666666667,1.3541666666666667,R_12tSZmx8hSuXu6d
1.6,3.3333333333333335,2.8333333333333335,3.0,1.0416666666666667,0.875,0.9583333333333334,R_2KyfqZxEJXtBkzL
0.8,1.8,2.0,2.727272727272727,0.75,0.7916666666666666,0.7708333333333333,R_75PkJGK4ZpN5clP
0.9,2.7333333333333334,2.1666666666666665,3.090909090909091,1.4583333333333333,0.8333333333333334,1.1458333333333333,R_5SxAnX25qTwpM5H
2.05,3.3333333333333335,4.0,3.272727272727273,1.4583333333333333,1.1666666666666667,1.3125,R_5lSB76siDkwnBL3
1.6,2.7333333333333334,2.6666666666666665,2.5454545454545454,0.7916666666666666,0.75,0.7708333333333333,R_3Vxfev3MGsXgbK1
0.4,2.066666666666667,3.3333333333333335,3.0,0.4583333333333333,0.625,0.5416666666666666,R_5PyR4YVF9PC296x
0.7,1.7333333333333334,3.4166666666666665,2.6363636363636362,0.4166666666666667,0.4583333333333333,0.4375,R_3Hq0pKoFXUeyfKX
2.2,3.466666666666667,3.5833333333333335,2.8181818181818183,1.375,1.2083333333333333,1.2916666666666665,R_1lsKKVQpKnRQfFs
1.15,2.8666666666666667,4.166666666666667,3.090909090909091,1.5,1.4583333333333333,1.4791666666666665,R_7LzE0pjYtdObtSm
2.05,3.533333333333333,3.0833333333333335,3.0,1.5,0.9166666666666666,1.2083333333333333,R_1JOTZSNdzRD5obR
1.3,3.066666666666667,2.6666666666666665,3.0,0.7083333333333334,0.9166666666666666,0.8125,R_3ekubxwa9Ik5zUP
2.0,3.4,4.5,3.5454545454545454,1.125,0.5833333333333334,0.8541666666666667,R_1dEQmznFrOUMB26
1.9,2.6,2.9166666666666665,3.1818181818181817,1.5416666666666667,1.5,1.5208333333333335,R_2M3BSrq6ZzSs0t3
1.9,3.4,3.8333333333333335,3.0,1.7083333333333333,1.7083333333333333,1.7083333333333333,R_3VjvlLbPe9t3xLs
